==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0003148   outflow tract septum morphogenesis                       11      29     95.4  4.7e-18    6.8e-17
GO:0010595   positive regulation of endothelial cell migration        15     117     32.3  5.0e-18    7.2e-17
GO:0050922   negative regulation of chemotaxis                        12      46     65.6  6.1e-18    8.8e-17
GO:0021537   telencephalon development                                20     333     15.1  1.1e-17    1.6e-16
GO:0007162   negative regulation of cell adhesion                     20     335     15.0  1.2e-17    1.7e-16
GO:2000177   regulation of neural precursor cell proliferation        15     125     30.2  1.2e-17    1.8e-16
GO:0002040   sprouting angiogenesis                                   13      71     46.1  1.4e-17    2.0e-16
GO:0072006   nephron development                                      16     162     24.8  1.7e-17    2.4e-16
GO:0014033   neural crest cell differentiation                        14      98     35.9  1.7e-17    2.4e-16
GO:0060445   branching involved in salivary gland morphogenesis       10      20    125.8  1.7e-17    2.5e-16
GO:0043085   positive regulation of catalytic activity                22     456     12.1  1.7e-17    2.5e-16
GO:0044087   regulation of cellular component biogenesis              31    1152      6.8  1.8e-17    2.5e-16
GO:0010976   positive regulation of neuron projection development     18     247     18.3  2.1e-17    3.0e-16
GO:0055123   digestive system development                             16     166     24.3  2.4e-17    3.3e-16
GO:0060537   muscle tissue development                                21     406     13.0  2.7e-17    3.7e-16
GO:0008038   neuron recognition                                       12      54     55.9  3.3e-17    4.5e-16
GO:0051147   regulation of muscle cell differentiation                16     171     23.5  3.7e-17    5.1e-16
