==============================================================================
  GO BP enrichment — LROT LR genes (v2: real background, deduped)
==============================================================================

Annotation source : GO go-basic.obo + mgi.gaf.gz (MGI, mouse)
Aspect            : biological_process only; NOT qualifiers excluded
Foreground        : 109 LR genes (109/109 annotated)
Background        : 27424 mouse genes with >=1 BP annotation
True-path rule    : annotations propagated to ancestors (is_a/part_of)
Test              : Fisher exact (one-sided greater); BH over all 4280 tested terms
Reported          : padj < 0.05 AND >=3 foreground genes

GO ID        Term                                                     fg      bg     fold        p      p_adj
GO:0045667   regulation of osteoblast differentiation                 16     172     23.4  4.0e-17    5.5e-16
GO:0001938   positive regulation of endothelial cell proliferation    14     105     33.5  4.1e-17    5.7e-16
GO:0048844   artery morphogenesis                                     13      79     41.4  4.8e-17    6.6e-16
GO:0072132   mesenchyme morphogenesis                                 12      57     53.0  5.8e-17    7.9e-16
GO:0050867   positive regulation of cell activation                   21     424     12.5  6.2e-17    8.4e-16
GO:0060976   coronary vasculature development                         13      81     40.4  6.5e-17    8.8e-16
GO:0022414   reproductive process                                     37    1844      5.0  7.2e-17    9.7e-16
GO:0003177   pulmonary valve development                              10      24    104.8  7.5e-17    1.0e-15
GO:0030856   regulation of epithelial cell differentiation            16     180     22.4  7.8e-17    1.1e-15
GO:0021954   central nervous system neuron development                14     111     31.7  8.3e-17    1.1e-15
GO:0051129   negative regulation of cellular component organization   27     863      7.9  8.7e-17    1.2e-15
GO:0035107   appendage morphogenesis                                  16     183     22.0  1.0e-16    1.3e-15
GO:0035108   limb morphogenesis                                       16     183     22.0  1.0e-16    1.3e-15
GO:0048736   appendage development                                    17     225     19.0  1.0e-16    1.3e-15
GO:0048738   cardiac muscle tissue development                        17     225     19.0  1.0e-16    1.3e-15
GO:0060173   limb development                                         17     225     19.0  1.0e-16    1.3e-15
GO:0021536   diencephalon development                                 13      85     38.5  1.1e-16    1.5e-15
GO:0031128   developmental induction                                  11      41     67.5  1.2e-16    1.5e-15
GO:0010718   positive regulation of epithelial to mesenchymal trans   12      61     49.5  1.2e-16    1.6e-15
GO:0090497   mesenchymal cell migration                               12      63     47.9  1.7e-16    2.2e-15
GO:0001837   epithelial to mesenchymal transition                     13      89     36.8  2.0e-16    2.5e-15
GO:0050804   modulation of chemical synaptic transmission             26     810      8.1  2.0e-16    2.6e-15
GO:0099177   regulation of trans-synaptic signaling                   26     811      8.1  2.0e-16    2.6e-15
GO:0010605   negative regulation of macromolecule metabolic process   47    3226      3.7  2.3e-16    3.0e-15
GO:0001649   osteoblast differentiation                               14     122     28.9  2.8e-16    3.6e-15
GO:0035924   cellular response to vascular endothelial growth facto   11      45     61.5  2.9e-16    3.7e-15
GO:0010001   glial cell differentiation                               17     241     17.7  3.0e-16    3.8e-15
GO:0045664   regulation of neuron differentiation                     17     246     17.4  4.1e-16    5.2e-15
GO:0065009   regulation of molecular function                         28    1009      7.0  4.1e-16    5.2e-15
GO:0032535   regulation of cellular component size                    20     407     12.4  4.2e-16    5.3e-15
GO:0003180   aortic valve morphogenesis                               10      30     83.9  4.8e-16    6.0e-15
GO:0009892   negative regulation of metabolic process                 48    3455      3.5  6.0e-16    7.6e-15
GO:0007548   sex differentiation                                      19     361     13.2  7.5e-16    9.4e-15
GO:0048841   regulation of axon extension involved in axon guidance    9      18    125.8  7.5e-16    9.4e-15
GO:0043535   regulation of blood vessel endothelial cell migration    13     100     32.7  7.8e-16    9.6e-15
GO:0050790   regulation of catalytic activity                         25     777      8.1  7.8e-16    9.7e-15
GO:0042476   odontogenesis                                            14     134     26.3  9.3e-16    1.2e-14
GO:0009987   cellular process                                        109   19949      1.4  9.3e-16    1.2e-14
GO:0050865   regulation of cell activation                            24     708      8.5  1.1e-15    1.3e-14
GO:0060037   pharyngeal system development                            10      34     74.0  1.4e-15    1.7e-14
GO:0014706   striated muscle tissue development                       19     379     12.6  1.7e-15    2.1e-14
GO:0045860   positive regulation of protein kinase activity           16     224     18.0  2.0e-15    2.4e-14
GO:0001775   cell activation                                          25     816      7.7  2.3e-15    2.8e-14
GO:0090100   positive regulation of transmembrane receptor protein    13     110     29.7  2.4e-15    2.9e-14
GO:0090092   regulation of transmembrane receptor protein serine/th   17     281     15.2  3.2e-15    3.9e-14
GO:0033674   positive regulation of kinase activity                   16     232     17.4  3.3e-15    3.9e-14
GO:0033043   regulation of organelle organization                     30    1297      5.8  3.4e-15    4.1e-14
GO:0003203   endocardial cushion morphogenesis                        10      38     66.2  3.6e-15    4.3e-14
GO:0035270   endocrine system development                             14     149     23.6  3.6e-15    4.3e-14
GO:0030336   negative regulation of cell migration                    18     338     13.4  3.8e-15    4.5e-14
GO:1901701   cellular response to oxygen-containing compound          30    1307      5.8  4.2e-15    5.0e-14
GO:0002064   epithelial cell development                              16     237     17.0  4.5e-15    5.3e-14
GO:0001755   neural crest cell migration                              11      61     45.4  5.5e-15    6.5e-14
GO:0110110   positive regulation of animal organ morphogenesis        10      40     62.9  5.6e-15    6.6e-14
GO:0050680   negative regulation of epithelial cell proliferation     14     155     22.7  6.0e-15    7.1e-14
GO:0042692   muscle cell differentiation                              18     350     12.9  6.8e-15    7.9e-14
GO:0060391   positive regulation of SMAD protein signal transductio   10      41     61.4  6.9e-15    8.1e-14
GO:0006468   protein phosphorylation                                  20     477     10.5  7.5e-15    8.8e-14
GO:2000146   negative regulation of cell motility                     18     354     12.8  8.1e-15    9.5e-14
GO:0006355   regulation of DNA-templated transcription                47    3547      3.3  8.7e-15    1.0e-13
GO:0001656   metanephros development                                  12      91     33.2  9.0e-15    1.0e-13
GO:2001141   regulation of RNA biosynthetic process                   47    3552      3.3  9.2e-15    1.1e-13
GO:0001570   vasculogenesis                                           12      92     32.8  1.0e-14    1.2e-13
GO:0048013   ephrin receptor signaling pathway                        10      43     58.5  1.0e-14    1.2e-13
GO:0001759   organ induction                                           9      26     87.1  1.1e-14    1.3e-13
GO:0051783   regulation of nuclear division                           14     163     21.6  1.2e-14    1.3e-13
GO:0007088   regulation of mitotic nuclear division                   13     126     26.0  1.2e-14    1.4e-13
GO:0072009   nephron epithelium development                           13     126     26.0  1.2e-14    1.4e-13
GO:0009890   negative regulation of biosynthetic process              42    2848      3.7  1.3e-14    1.5e-13
GO:0007413   axonal fasciculation                                      9      27     83.9  1.5e-14    1.7e-13
GO:0106030   neuron projection fasciculation                           9      27     83.9  1.5e-14    1.7e-13
GO:0001503   ossification                                             17     310     13.8  1.5e-14    1.7e-13
GO:0008219   cell death                                               23     721      8.0  1.6e-14    1.8e-13
GO:0012501   programmed cell death                                    23     721      8.0  1.6e-14    1.8e-13
GO:0008544   epidermis development                                    18     369     12.3  1.6e-14    1.8e-13
GO:0045787   positive regulation of cell cycle                        18     369     12.3  1.6e-14    1.8e-13
GO:0010977   negative regulation of neuron projection development     14     168     21.0  1.7e-14    1.9e-13
GO:2001234   negative regulation of apoptotic signaling pathway       16     261     15.4  1.8e-14    2.0e-13
GO:0010464   regulation of mesenchymal cell proliferation             10      46     54.7  1.9e-14    2.1e-13
GO:0003181   atrioventricular valve morphogenesis                      9      28     80.9  1.9e-14    2.1e-13
GO:0051785   positive regulation of nuclear division                  11      70     39.5  2.1e-14    2.4e-13
GO:0072080   nephron tubule development                               12      99     30.5  2.3e-14    2.5e-13
GO:0010558   negative regulation of macromolecule biosynthetic proc   41    2754      3.7  2.3e-14    2.5e-13
GO:0045747   positive regulation of Notch signaling pathway           10      47     53.5  2.3e-14    2.5e-13
GO:0006915   apoptotic process                                        22     657      8.4  2.5e-14    2.7e-13
GO:0016310   phosphorylation                                          20     510      9.9  2.5e-14    2.7e-13
GO:0071526   semaphorin-plexin signaling pathway                      10      48     52.4  2.8e-14    3.0e-13
GO:0008593   regulation of Notch signaling pathway                    12     101     29.9  2.8e-14    3.0e-13
GO:0048146   positive regulation of fibroblast proliferation          11      72     38.4  2.8e-14    3.1e-13
GO:0051963   regulation of synapse assembly                           15     221     17.1  3.1e-14    3.4e-13
GO:0050927   positive regulation of positive chemotaxis                9      30     75.5  3.3e-14    3.5e-13
GO:0009798   axis specification                                       12     103     29.3  3.5e-14    3.7e-13
GO:2001233   regulation of apoptotic signaling pathway                19     451     10.6  3.5e-14    3.7e-13
GO:0060021   roof of mouth development                                12     104     29.0  3.9e-14    4.1e-13
GO:0045840   positive regulation of mitotic nuclear division          10      50     50.3  4.0e-14    4.2e-13
GO:0061448   connective tissue development                            16     276     14.6  4.2e-14    4.4e-13
GO:0051252   regulation of RNA metabolic process                      48    3867      3.1  4.6e-14    4.9e-13
GO:0061326   renal tubule development                                 12     106     28.5  4.8e-14    5.0e-13
GO:0043524   negative regulation of neuron apoptotic process          15     228     16.6  4.8e-14    5.1e-13
